0 torch.Size([1, 64, 128]) tensor([-0.0275,  0.0684,  0.0511])
1 torch.Size([1, 64, 128]) tensor([ 0.1092,  0.1328, -0.2527])
2 torch.Size([1, 64, 128]) tensor([-0.2162, -0.0029, -0.2469])
3 torch.Size([1, 64, 128]) tensor([-0.0752,  0.2108, -0.2718])
0 torch.Size([1, 64, 128]) tensor([-0.0089,  0.0666,  0.0574])
1 torch.Size([1, 64, 128]) tensor([ 0.2979, -0.1276, -0.0566])
2 torch.Size([1, 64, 128]) tensor([ 0.0120, -0.0364, -0.1424])
3 torch.Size([1, 64, 128]) tensor([ 0.0382, -0.3543, -0.0552])
0 torch.Size([1, 64, 128]) tensor([-0.0359,  0.0143,  0.0131])
1 torch.Size([1, 64, 128]) tensor([ 0.0436, -0.1118, -0.3244])
2 torch.Size([1, 64, 128]) tensor([-0.1781, -0.1899, -0.3399])
3 torch.Size([1, 64, 128]) tensor([-0.1342,  0.0999, -0.2775])
0 torch.Size([1, 64, 128]) tensor([-0.0294,  0.0460, -0.0019])
1 torch.Size([1, 64, 128]) tensor([ 0.0320, -0.3693, -0.1116])
2 torch.Size([1, 64, 128]) tensor([-0.3061, -0.1586, -0.3518])
3 torch.Size([1, 64, 128]) tensor([-0.0908,  0.1127, -0.1741])
0 torch.Size([1, 64, 128]) tensor([-0.0228,  0.0392,  0.0013])
1 torch.Size([1, 64, 128]) tensor([-0.0094, -0.3832, -0.1662])
2 torch.Size([1, 64, 128]) tensor([-0.0124, -0.2958, -0.2386])
3 torch.Size([1, 64, 128]) tensor([ 0.0026,  0.0953, -0.1260])
0 torch.Size([1, 64, 128]) tensor([0.0115, 0.0406, 0.0630])
1 torch.Size([1, 64, 128]) tensor([ 0.1594, -0.1188, -0.2409])
2 torch.Size([1, 64, 128]) tensor([ 0.2946, -0.4886, -0.1384])
3 torch.Size([1, 64, 128]) tensor([-0.1024,  0.0765, -0.2470])
0 torch.Size([1, 64, 128]) tensor([-0.0007,  0.0570,  0.0496])
1 torch.Size([1, 64, 128]) tensor([ 0.2080, -0.1353, -0.3357])
2 torch.Size([1, 64, 128]) tensor([ 0.1105, -0.2479, -0.1874])
3 torch.Size([1, 64, 128]) tensor([-0.1272,  0.1245, -0.3126])
0 torch.Size([1, 64, 128]) tensor([-0.0616,  0.0337,  0.0411])
1 torch.Size([1, 64, 128]) tensor([ 0.1646, -0.1336, -0.0920])
2 torch.Size([1, 64, 128]) tensor([-0.0697, -0.0973, -0.2368])
3 torch.Size([1, 64, 128]) tensor([-0.0938,  0.1191, -0.3406])
0 torch.Size([1, 64, 128]) tensor([-0.0879,  0.0219,  0.0226])
1 torch.Size([1, 64, 128]) tensor([ 0.1611, -0.0341, -0.1419])
2 torch.Size([1, 64, 128]) tensor([-0.0306,  0.0222, -0.2028])
3 torch.Size([1, 64, 128]) tensor([-0.0152,  0.1189, -0.2253])
0 torch.Size([1, 64, 128]) tensor([-0.0804,  0.0825,  0.0319])
1 torch.Size([1, 64, 128]) tensor([ 0.2319, -0.0785, -0.0682])
2 torch.Size([1, 64, 128]) tensor([-0.2889,  0.0125, -0.2774])
3 torch.Size([1, 64, 128]) tensor([ 0.0125,  0.0812, -0.2545])
0 torch.Size([1, 64, 128]) tensor([-0.0039,  0.0744,  0.0650])
1 torch.Size([1, 64, 128]) tensor([ 0.1923, -0.2202, -0.1093])
2 torch.Size([1, 64, 128]) tensor([ 0.0808, -0.0355, -0.1183])
3 torch.Size([1, 64, 128]) tensor([ 0.0275, -0.3000, -0.0731])
0 torch.Size([1, 64, 128]) tensor([-0.0359,  0.0143,  0.0131])
1 torch.Size([1, 64, 128]) tensor([ 0.0436, -0.1118, -0.3244])
2 torch.Size([1, 64, 128]) tensor([-0.1781, -0.1899, -0.3399])
3 torch.Size([1, 64, 128]) tensor([-0.1342,  0.0999, -0.2775])
